"row ID","sub","http://purl.org/dc/terms/created+First(obj)","http://purl.org/dc/terms/creator+First(obj)","http://purl.org/dc/terms/title+First(obj)","http://www.openannotation.org/ns/hasBody+First(obj)","http://www.openannotation.org/ns/hasTarget+First(obj)","http://www.w3.org/1999/02/22-rdf-syntax-ns#type+First(obj)"
"Row72","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#75","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.115","http://pleiades.stoa.org/places/893951#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.115","http://www.openannotation.org/ns/Annotation"
"Row73","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#76","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.115","http://pleiades.stoa.org/places/893951#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.115","http://www.openannotation.org/ns/Annotation"
"Row74","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#77","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.130","http://pleiades.stoa.org/places/893951#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.130","http://www.openannotation.org/ns/Annotation"
"Row75","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#78","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.158","http://pleiades.stoa.org/places/893951#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.158","http://www.openannotation.org/ns/Annotation"
"Row76","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#79","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 2.315","http://pleiades.stoa.org/places/893951#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:2.315","http://www.openannotation.org/ns/Annotation"
"Row77","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#8","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.148","http://pleiades.stoa.org/places/866051#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.148","http://www.openannotation.org/ns/Annotation"
"Row78","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#80","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.202","http://pleiades.stoa.org/places/423025#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.202","http://www.openannotation.org/ns/Annotation"
"Row79","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#81","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.169","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.169","http://www.openannotation.org/ns/Annotation"
"Row80","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#82","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.186","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.186","http://www.openannotation.org/ns/Annotation"
"Row81","http://data.perseus.org/annotations/occur/places:pleiades/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1#83","2013-10-16","Perseus Digital Library","Flavius Josephus, Antiquities of the Jews 1.237","http://pleiades.stoa.org/places/687915#this","http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:1.237","http://www.openannotation.org/ns/Annotation"
